index,Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
0,In Parenthesis.,"""This writing has to do with some things I saw, felt, and was part of"": with quiet modesty, David Jones begins a work that is among the most powerful imaginative efforts to grapple with the carnage of the First World War, a book celebrated by W.B. Yeats and T.S. Eliot as one of the masterpieces of modern literature. Fusing poetry and prose, gutter talk and high music, wartime terror and ancient myth, Jones, who served as an infantryman on the Western Front, presents a picture at once panoramic and intimate of a world of interminable waiting and unforeseen death. And yet throughout he remains alert to the flashes of humanity that light up the wasteland of war.",['David Jones'],http://books.google.com/books/content?id=a6fL8VYPXzoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=a6fL8VYPXzoC&printsec=frontcover&dq=In+Parenthesis.&hl=&cd=1&source=gbs_api,New York Review of Books,2003-07-31,http://books.google.com/books?id=a6fL8VYPXzoC&dq=In+Parenthesis.&hl=&source=gbs_api,['Fiction'],7.0
1,Levers Of Organization Design: How Managers Use Accountability Systems For Greater Performance And Commitment,"The design of an organization--the accountability system that defines roles, rights, and responsibilities throughout the firm--has a direct impact on the performance of every employee. Yet, few leaders devote focused attention to how this design is chosen, implemented, and adjusted over time. Robert Simons argues that by viewing design as a powerful and proactive management lever--rather than an inevitable outcome of corporate evolution--leaders can maximize productivity across every level of the organization. Levers of Organization Design presents a new design theory based on four key yet often underrated categories: customer definition, critical performance variables, creative tension, and commitment to mission. Building from these core areas, Simons lays out a step-by-step process leaders can follow to create structures and accountability systems that positively influence how people do their work, where they focus their attention, and how their activities can be aligned to contribute to overall strategic goals. He also introduces four levers of organizational design--unit configuration, diagnostic control systems, interactive networks, and responsibility to others--that leaders can manipulate to improve overall organizational efficiency and effectiveness vastly. For anyone accountable for measuring and managing performance, this book shows how good design can become an organization's roadmap to success. Robert Simons is the Charles M. Williams Professor of Business Administration in the accounting & control area at Harvard Business School.",['Robert Simons'],http://books.google.com/books/content?id=bsSkVB7OQJ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=bsSkVB7OQJ0C&printsec=frontcover&dq=Levers+Of+Organization+Design:+How+Managers+Use+Accountability+Systems+For+Greater+Performance+And+Commitment&hl=&cd=1&source=gbs_api,Harvard Business Press,2005-07-25,https://play.google.com/store/books/details?id=bsSkVB7OQJ0C&source=gbs_api,['Business & Economics'],2.0
2,Sins of the brother: The definitive story of Ivan Milat and the backpacker murders,"Like the Beaumont children and the Azaria Chamberlain cases before it, the backpacker murder case in Belanglo State Forest has entered Australian criminal folklore. Seven young people, most of them foreigners backpacking around Australia, brutally murdered, their remains uncovered in 1992 and 1993. It would take scores of police over three years, countless hours of forensic investigation, thousands of false leads and a few precious clues to charge and convict Ivan Milat for their horrific deaths. Sins of the Brother is the definitive work on Ivan Milat, his family and the murders. Almost four years in the making, informed by exclusive interviews with members of the Milat family, key police investigators and Crown lawyers, this book reveals a family culture so bizarre it would lead inexorably to murder. It also scrutinises the police investigation-its remarkable success and failures, the dramatic turning point and the backbiting and bitterness that followed Milat's arrest. Thought-provoking, totally unsalacious, an exploration of the darker side of Australian life as a whole, Sins of the Brother is a detailed and gripping read-a psychological thriller come to life.","['Les Kennedy', 'Mark Whittaker']",http://books.google.com/books/content?id=acfCYGPaqCoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=acfCYGPaqCoC&dq=Sins+of+the+brother:+The+definitive+story+of+Ivan+Milat+and+the+backpacker+murders&hl=&cd=1&source=gbs_api,Pan Australia,2007-11-10,http://books.google.nl/books?id=acfCYGPaqCoC&dq=Sins+of+the+brother:+The+definitive+story+of+Ivan+Milat+and+the+backpacker+murders&hl=&source=gbs_api,['Biography & Autobiography'],3.0
3,Divorced from the Mob: My Journey from Organized Crime to Independent Women,"Andrea Giovino breaks the Mafia's code of silence and describes the life of a woman born and bred into the Family, and her inspirational escape. Her defiant struggle to break free of her family's criminal legacy is by turns horrifying and heartbreaking. As a child in Brooklyn, Giovino watched her brother become a hit man and helped her mother host card games for local mafiosos. As a sexy, street-smart woman, she earned a seat at nightclub tables next to John Gotti, and took an emotional and bloody ride through organized crime that no HBO series could match. At home, she fought to keep her children safe—keeping the guns out of reach, washing bloodstains out of her husband's clothes—and maintain the household's front as a model of American domesticity. Murders, a DEA setup, and FBI wiretaps finally brought Giovino to the brink of prison. Defiantly, she chose to retain her identity, facing down threats against her life and courageously separating herself and her children from the world of organized crime.",['Andrea Giovino'],http://books.google.com/books/content?id=e3u9tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=e3u9tAEACAAJ&dq=Divorced+from+the+Mob:+My+Journey+from+Organized+Crime+to+Independent+Women&hl=&cd=1&source=gbs_api,Da Capo Press,2005-04-18,http://books.google.com/books?id=e3u9tAEACAAJ&dq=Divorced+from+the+Mob:+My+Journey+from+Organized+Crime+to+Independent+Women&hl=&source=gbs_api,['True Crime'],1.0
4,The Loving Man: How a Woman Can Change a Man and Why She Must,"Steve Harvey, the host of the nationally syndicated Steve Harvey Morning Show, can't count the number of impressive women he's met over the years, whether it's through the ""Strawberry Letters"" segment of his program or while on tour for his comedy shows. Yet when it comes to relationships, they can't figure out what makes men tick. Why? According to Steve it's because they're asking other women for advice when no one but another man can tell them how to find and keep a man. In Act Like a Lady, Think Like a Man, Steve lets women inside the mindset of a man and sheds light on concepts and questions such as: The Ninety Day Rule: Ford requires it of its employees. Should you require it of your man? The five questions every woman should ask a man to determine how serious he is. And much more . . . Sometimes funny, sometimes direct, but always truthful, Act Like a Lady, Think Like a Man is a book you must read if you want to understand how men think when it comes to relationships.",['Steve Harvey'],http://books.google.com/books/content?id=DJFxdhNc49IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=DJFxdhNc49IC&pg=PP1&dq=The+Loving+Man:+How+a+Woman+Can+Change+a+Man+and+Why+She+Must&hl=&cd=1&source=gbs_api,Harper Collins,2010-06-01,http://books.google.com/books?id=DJFxdhNc49IC&dq=The+Loving+Man:+How+a+Woman+Can+Change+a+Man+and+Why+She+Must&hl=&source=gbs_api,['Self-Help'],106.0
5,The Law is a Lady,"Probably the first full-length novel with a woman detective as its heroine, The Law and the Lady (1875) is a fascinating example of Collins' later fiction. Valeria Valerie Woodville's first act as a married woman is to sign her name incorrectly in the marriage register; this slip is followed by a gradual disclosure of secrets about her husband's earlier life, each of which leads to another set of questions and enigmas. Developing many of the techniques at work in The Moonstone in bizarre and unexpected ways, and employing both Gothic and fantastic elements, The Law and the Lady adds a significant dimension to the history of the detective novel.",['Wilkie Collins'],http://books.google.com/books/content?id=1JI_hFUZufUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=1JI_hFUZufUC&dq=The+Law+is+a+Lady&hl=&cd=1&source=gbs_api,Penguin UK,1998-09-24,http://books.google.nl/books?id=1JI_hFUZufUC&dq=The+Law+is+a+Lady&hl=&source=gbs_api,['Fiction'],6.0
6,Beyond Conservation: A Wildland Strategy,"After decades of operating off-the-backfoot and protecting and conserving nature perceived as under threat, conservationists are becoming proactive and creative in the face of habitat loss, agricultural intensification and climate change. Beyond Conservation offers a revolutionary agenda for both managing existing wildlands in Britain and for expanding and connecting such lands. Central to this strategy is the imperative to 'rewild' or restore and repair damaged habitat and ecosystems, promote existing biodiversity and reintroduce vanished plant and animal species, while working to reconcile human needs and livelihoods and the needs of nature.",['Peter Taylor'],http://books.google.com/books/content?id=VjgRFhKme_sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=VjgRFhKme_sC&printsec=frontcover&dq=Beyond+Conservation:+A+Wildland+Strategy&hl=&cd=1&source=gbs_api,Earthscan,2013,http://books.google.com/books?id=VjgRFhKme_sC&dq=Beyond+Conservation:+A+Wildland+Strategy&hl=&source=gbs_api,['Nature'],1.0
7,Make-up Techniques for Photography,"This covers everything the student needs for the S/NVQ core and options unit and the only book they need for the make-up pathway of S/NVQ Level 3 Beauty Therapy. It demonstrates step-by-step procedures and contains mapping showing how the book relates to VTCT, ITEC and BTEC.",['Julia Conway'],http://books.google.com/books/content?id=buCV40tP5V0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=buCV40tP5V0C&pg=PA178&dq=Make-up+Techniques+for+Photography&hl=&cd=1&source=gbs_api,Heinemann,2004,http://books.google.com/books?id=buCV40tP5V0C&dq=Make-up+Techniques+for+Photography&hl=&source=gbs_api,['Beauty culture'],1.0
8,Colorado's Fourteeners CD/Map Combo,"An accurate, complete guide to climbing the 55 peaks over 14,000 feet in Colorado--covering routes for all levels. Each route's difficulty is rated according to the Yosemite Decimal System. Includes round-trip mileage and elevation gain. Roach has climbed every peak in this guide. Photographs and maps.",['Gerry Roach'],http://books.google.com/books/content?id=iU8TAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=iU8TAQAAIAAJ&q=Colorado%27s+Fourteeners+CD/Map+Combo&dq=Colorado%27s+Fourteeners+CD/Map+Combo&hl=&cd=1&source=gbs_api,Fulcrum Pub,1992,http://books.google.com/books?id=iU8TAQAAIAAJ&dq=Colorado%27s+Fourteeners+CD/Map+Combo&hl=&source=gbs_api,['Travel'],3.0
9,They Poured Fire on Us from the Sky: The True Story of Three Lost Boys from Sudan,"A stunning literary survival story of three young Sudanese boys, two brothers and a cousin—hailed by the Los Angeles Times as a “moving, beautifully written account, by turns warm and tender.” Between 1987 and 1989, Alepho, Benjamin, and Benson, like tens of thousands of young boys, took flight from the massacres of Sudan's civil war. They became known as the Lost Boys. With little more than the clothes on their backs, sometimes not even that, they streamed out over Sudan in search of refuge. Their journey led them first to Ethiopia and then, driven back into Sudan, toward Kenya. They walked nearly one thousand miles, sustained only by the sheer will to live. They Poured Fire on Us from the Sky is the three boys' account of that unimaginable journey. With the candor and the purity of their child's-eye-vision, Alephonsian, Benjamin, and Benson recall by turns: how they endured the hunger and strength-sapping illnesses—dysentery, malaria, and yellow fever; how they dodged the life-threatening predators—lions, snakes, crocodiles and soldiers alike—that dogged their footsteps; and how they grappled with a war that threatened continually to overwhelm them. Their story is a lyrical, captivating, timeless portrait of a childhood hurled into wartime and how they had the good fortune and belief in themselves to survive.","['Benjamin Ajak', 'Benson Deng', 'Alephonsion Deng', 'Judy A. Bernstein']",http://books.google.com/books/content?id=nRtpCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=nRtpCQAAQBAJ&printsec=frontcover&dq=They+Poured+Fire+on+Us+from+the+Sky:+The+True+Story+of+Three+Lost+Boys+from+Sudan&hl=&cd=1&source=gbs_api,PublicAffairs,2015-08-11,https://play.google.com/store/books/details?id=nRtpCQAAQBAJ&source=gbs_api,['History'],6.0
10,CADDIE WOODLAWN,"An illustrated edition of the Newberry Medal–winning Caddie Woodlawn, which has been captivating young readers since 1935. Caddie Woodlawn is a real adventurer. She'd rather hunt than sew and plow than bake, and tries to beat her brother's dares every chance she gets. Caddie is friends with Indians, who scare most of the neighbors—neighbors who, like her mother and sisters, don't understand her at all. Caddie is brave, and her story is special because it's based on the life and memories of Carol Ryrie Brink's grandmother, the real Caddie Woodlawn. Her spirit and sense of fun have made this book a classic that readers have taken to their hearts for more than seventy years.",['Carol Ryrie Brink'],http://books.google.com/books/content?id=1uYXEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=1uYXEAAAQBAJ&printsec=frontcover&dq=CADDIE+WOODLAWN&hl=&cd=1&source=gbs_api,Aladdin,2006-12-26,http://books.google.com/books?id=1uYXEAAAQBAJ&dq=CADDIE+WOODLAWN&hl=&source=gbs_api,['Juvenile Fiction'],29.0
11,Angel Lust : An Erotic Novel of Time Travel,"A thousand years ago: the turn of the First Millennium. Thomas Jebson, a bright farm boy, found himself attracted to a wandering knight. The knight has returned Thomas's shy smile, causing Jebson to go on foot to seek him. Local barons maintain ""law"" by murder, but Thomas is sure this knight will teach him to read, a forbidden activity in Dark Age Europe, whose forests hide ""faery men, "" worshippers of the old gods and practicers of forbidden sexual rituals, who have already inducted Thomas into their rites. Evening drops. Thomas finds Bertrand, the handsome knight, in a grove of trees. Thomas kneels, asking to be allowed to follow him. Bertrand agrees and requests Thomas's help removing his heavy armor. They are soon both naked, and spend the night making love. At dawn, thugs come after Bertrand. He will not leave Thomas, and after engaging in hand-to-hand combat is killed. Thomas is lashed to the body of his beloved knight. Bound to a tree in the grove, both are burned. Before succumbing, Thomas hears dead Bertrand's voice, they will never be separated, but will return to help others, no matter how impossible. A thousand years later, handsome Tommy Angelo finds himself still looking for men at the edge, giving them sexual satisfaction and strength, hoping that he will gain the ""favor"" necessary to be reunited with Bert, his lover from another life. In 21st century gay Manhattan, with its own ""barons, "" Tommy comes across powerful Allan Hubris. Tommy fights Hubris's schemes, while giving himself to an array of adventurous men, who are also looking for that ultimate union and release. Angel Lust combines the mystical atmosphere we see in Ann Rice's classics of dark eroticism withBrass's more open, full-throttle gay sexuality. It will be a grabbed-off-the-shelves read from a master of gay literary erotica and story telling.",['Perry Brass'],http://books.google.com/books/content?id=HR5ncOStVywC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=HR5ncOStVywC&q=Angel+Lust+:+An+Erotic+Novel+of+Time+Travel&dq=Angel+Lust+:+An+Erotic+Novel+of+Time+Travel&hl=&cd=1&source=gbs_api,Perry  Brass,2000,http://books.google.com/books?id=HR5ncOStVywC&dq=Angel+Lust+:+An+Erotic+Novel+of+Time+Travel&hl=&source=gbs_api,['Fiction'],1.0
